"garment_group_name","prod_name","section_name","department_name"
"Dresses/Skirts girls","Elva Dress","Young Girl","Kids Girl Dresses"
"Jersey Basic","MY","Womens Everyday Basics","Jersey Basic"
"Special Offers","Mini me kids","Womens Everyday Collection","Campaigns"
"Swimwear","TOM FANCY","Kids Accessories, Swimwear & D","Swimwear"
"Trousers Denim","SKINNY BASIC 89","Young Girl","Denim Trousers"
"Trousers","Luna skinny RW","Divided Collection","Trouser"
"Outdoor","SB Cliff vest TP","Womens Jackets","Outwear"
"Shirts","TP Princeton shirt","Kids Boy","Shirt"
"Knitwear","TP Paddington Sweater","Womens Everyday Collection","Knitwear"
"Shoes","Hannah basic ballerina SG","Womens Shoes","Kids Girl Shoes"
"Dressed","Mariette","Men Suits & Tailoring","Suit"
"Dresses Ladies","Sorrel","Womens Everyday Collection","Dress"
"Under-, Nightwear","Robin 3pk Fancy","Girls Underwear & Basics","Expressive Lingerie"
"Shorts","Pelle shorts TP","Womens Everyday Collection","Shorts"
"Skirts","CHARLIE SKIRT","Womens Everyday Collection","Skirt"
"Socks and Tights","1pk Fun","Girls Underwear & Basics","Baby Socks"
"Unknown","SUPREME FANCY TIGHTS","Kids Sports","Divided+"
"Woven/Jersey/Knitted mix Baby","TVP Klimt denim","Baby Girl","Baby Exclusive"
"Jersey Fancy","Dragonfly dress","Young Girl","Jersey"
"Blouses","Despacito","Divided Collection","Blouse"
"Accessories","SBC OWN","Womens Big accessories","Jewellery"
